"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5073","copypazte","chromium","Wed Sep 25 15:32:11 IST 2024","passed","Wed Sep 25 15:32:16 IST 2024","","example.spec.js","",""
"","24690","pagedd","chromium","Wed Sep 25 15:31:30 IST 2024","passed","Wed Sep 25 15:31:55 IST 2024","","example.spec.js","",""
"","7581","page rt","chromium","Wed Sep 25 15:32:03 IST 2024","passed","Wed Sep 25 15:32:11 IST 2024","","example.spec.js","",""
"","8407","pagecart","chromium","Wed Sep 25 15:31:55 IST 2024","passed","Wed Sep 25 15:32:03 IST 2024","","example.spec.js","",""
