"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18625","alert ok","chromium","Tue May 28 15:08:34 IST 2024","passed","Tue May 28 15:08:53 IST 2024","","10.alert.spec.js","",""
"","31691","alert ok","chromium","Tue May 28 15:42:14 IST 2024","broken","Tue May 28 15:42:45 IST 2024","","11.frame.spec.js","",""
"","13951","tezt2","firefox","Fri May 24 13:05:04 IST 2024","failed","Fri May 24 13:05:18 IST 2024","","29.allure_report.spec.js","",""
"","2445","update","chromium","Fri May 24 17:12:26 IST 2024","passed","Fri May 24 17:12:29 IST 2024","","31.api.spec.js","",""
"","827","grouping @smoke","chromium","Fri Aug 23 18:31:29 IST 2024","passed","Fri Aug 23 18:31:29 IST 2024","Smoke Tests","23.tag.spec.js","",""
"","30806","auto multiple page","chromium","Tue Aug 27 19:09:33 IST 2024","broken","Tue Aug 27 19:10:04 IST 2024","","27.multiple_page.spec.js","",""
"","10016","maximize","chromium","Mon May 27 21:46:20 IST 2024","passed","Mon May 27 21:46:30 IST 2024","","32.browzer_maximize.spec.js","",""
"","7272","tezt3","firefox","Fri May 24 13:05:19 IST 2024","passed","Fri May 24 13:05:26 IST 2024","","29.allure_report.spec.js","",""
"","1024","get","chromium","Fri May 24 17:12:24 IST 2024","passed","Fri May 24 17:12:25 IST 2024","","31.api.spec.js","",""
"","741","grouping1","chromium","Fri Aug 23 18:00:55 IST 2024","passed","Fri Aug 23 18:00:56 IST 2024","begin","19.group.spec.js","",""
"","5714","tezt3","webkit","Fri May 24 13:05:16 IST 2024","passed","Fri May 24 13:05:21 IST 2024","","29.allure_report.spec.js","",""
"","3099","Login","chromium","Fri Jul 05 16:10:11 IST 2024","failed","Fri Jul 05 16:10:14 IST 2024","","1.Login.spec.js","",""
